date,topic,wp,party,page_content,keyword_counts,keyword_total
20211026,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211027,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211028,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211029,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211030,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211031,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211101,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211102,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211103,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211104,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211105,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211106,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211107,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211108,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211109,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211110,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211111,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211112,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211113,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211114,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211115,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211116,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211117,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211118,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211119,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211120,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211121,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211122,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211123,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211124,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211125,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211126,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211127,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211128,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
20211129,migration,20,BÜNDNIS 90/DIE GRÜNEN,,[],0
